TransactionID,UserID,AmountPaid,TransactionDate,Status
TX_user_0001_0,user_0001,79.0,2025-04-13,Active
TX_user_0001_1,user_0001,79.0,2025-05-13,Active
TX_user_0001_2,user_0001,79.0,2025-06-12,Active
TX_user_0001_3,user_0001,79.0,2025-07-12,Active
TX_user_0001_4,user_0001,79.0,2025-08-11,Active
TX_user_0001_5,user_0001,79.0,2025-09-10,Active
TX_user_0001_6,user_0001,79.0,2025-10-10,Active
TX_user_0001_7,user_0001,79.0,2025-11-09,Active
TX_user_0001_8,user_0001,79.0,2025-12-09,Active
TX_user_0002_0,user_0002,29.0,2025-12-15,Active
TX_user_0003_0,user_0003,29.0,2025-09-28,Active
TX_user_0003_1,user_0003,29.0,2025-10-28,Active
TX_user_0003_2,user_0003,29.0,2025-11-27,Active
TX_user_0003_3,user_0003,29.0,2025-12-27,Active
TX_user_0004_0,user_0004,29.0,2025-04-17,Active
TX_user_0004_1,user_0004,29.0,2025-05-17,Active
TX_user_0004_2,user_0004,29.0,2025-06-16,Active
TX_user_0004_3,user_0004,29.0,2025-07-16,Active
TX_user_0004_4,user_0004,29.0,2025-08-15,Active
TX_user_0004_5,user_0004,29.0,2025-09-14,Active
TX_user_0004_6,user_0004,29.0,2025-10-14,Active
TX_user_0004_7,user_0004,29.0,2025-11-13,Active
TX_user_0004_8,user_0004,29.0,2025-12-13,Active
TX_user_0005_0,user_0005,29.0,2025-03-13,Churned
TX_user_0006_0,user_0006,299.0,2025-07-08,Active
TX_user_0006_1,user_0006,299.0,2025-08-07,Active
TX_user_0006_2,user_0006,299.0,2025-09-06,Active
TX_user_0006_3,user_0006,299.0,2025-10-06,Active
TX_user_0006_4,user_0006,299.0,2025-11-05,Active
TX_user_0006_5,user_0006,299.0,2025-12-05,Active
TX_user_0007_0,user_0007,29.0,2025-01-21,Churned
TX_user_0008_0,user_0008,79.0,2025-04-13,Active
TX_user_0008_1,user_0008,79.0,2025-05-13,Active
TX_user_0008_2,user_0008,79.0,2025-06-12,Active
TX_user_0008_3,user_0008,79.0,2025-07-12,Active
TX_user_0008_4,user_0008,79.0,2025-08-11,Active
TX_user_0008_5,user_0008,79.0,2025-09-10,Active
TX_user_0008_6,user_0008,79.0,2025-10-10,Active
TX_user_0008_7,user_0008,79.0,2025-11-09,Active
TX_user_0008_8,user_0008,79.0,2025-12-09,Active
TX_user_0009_0,user_0009,29.0,2025-05-02,Active
TX_user_0009_1,user_0009,29.0,2025-06-01,Active
TX_user_0009_2,user_0009,29.0,2025-07-01,Active
TX_user_0009_3,user_0009,29.0,2025-07-31,Active
TX_user_0009_4,user_0009,29.0,2025-08-30,Active
