UserID,TotalMinutesSpent,TotalInteractions
user_0001,2396,84
user_0002,214,5
user_0003,1295,40
user_0004,1958,58
user_0005,397,15
user_0006,1040,34
user_0007,799,22
user_0008,1665,52
user_0009,1301,42
user_0010,446,16
user_0011,120,5
user_0012,3222,98
user_0013,953,34
user_0014,85,2
user_0015,1059,38
user_0016,2057,73
user_0017,1326,44
user_0018,669,20
user_0019,866,34
user_0020,435,13
user_0021,202,5
user_0022,1564,50
user_0023,343,12
user_0024,129,5
user_0025,400,16
user_0026,1078,33
user_0027,401,13
user_0028,700,23
user_0029,202,6
user_0030,1037,37
user_0031,2871,95
user_0032,1350,49
user_0033,767,31
user_0034,914,29
user_0035,951,39
user_0036,1489,48
user_0037,961,29
user_0039,2099,67
user_0040,271,7
user_0041,90,3
user_0042,677,24
user_0043,320,9
user_0044,2662,84
user_0045,572,23
user_0046,128,4
user_0047,1965,60
user_0048,947,34
user_0049,1545,58
user_0050,173,5
user_0051,741,27
user_0052,261,9
user_0053,1082,34
user_0054,148,4
user_0055,1286,40
user_0056,187,7
user_0057,984,28
user_0058,542,19
user_0059,1611,54
user_0060,1647,55
user_0061,2287,79
user_0062,375,15
user_0063,53,2
user_0064,2594,84
user_0065,1395,48
user_0066,2854,96
user_0067,485,17
user_0068,689,23
user_0069,1554,57
user_0070,787,22
user_0071,3848,132
user_0072,2113,79
user_0073,788,29
user_0074,585,18
user_0075,218,10
user_0076,347,11
user_0077,533,19
user_0078,1958,61
user_0079,613,19
user_0080,1905,64
user_0081,1042,32
user_0082,898,32
user_0083,1227,42
user_0084,93,3
user_0085,210,6
user_0086,2838,92
user_0087,358,12
user_0088,1038,33
user_0089,1102,39
user_0090,1881,62
user_0091,3333,111
user_0092,1632,48
user_0093,156,5
user_0094,936,25
user_0095,1873,60
user_0096,81,4
user_0097,230,11
user_0098,2676,101
user_0099,89,4
user_0100,416,13
user_0101,2382,80
user_0102,3324,114
user_0103,2821,89
user_0104,1004,33
user_0105,1467,50
user_0106,806,25
user_0107,852,25
user_0108,1159,42
user_0109,1996,64
user_0110,3618,125
user_0111,818,31
user_0112,1187,38
user_0113,211,8
user_0114,723,22
user_0115,4148,137
user_0116,2004,63
